"ID","date","study_no","org_name","org_detail","inoc_conc","incubation","colony_count_raw","bact_hours","csa_hours","hours_diff","comment"
215,2013-07-17,"1082D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",64,NA,NA,NA,""
216,2013-07-17,"1083","none","neg_ctrl","0","csa_and_bact",NA,NA,NA,NA,""
217,2013-07-23,"1084A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,13.23,14.7,1.47,""
218,2013-07-23,"1084B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,23.39,27.3,3.91,""
219,2013-07-23,"1084C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",66,36.56,41,4.44,""
220,2013-07-23,"1084D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",0,49.06,52.7,3.64,""
221,2013-07-23,"1085A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,11.39,14,2.61,""
222,2013-07-23,"1085B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,23.56,26.3,2.74,""
223,2013-07-23,"1085C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",58,37.24,40.1,2.86,""
224,2013-07-23,"1085D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",2,45.39,48.3,2.91,""
225,2013-07-23,"1086A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,10.56,12.7,2.14,""
226,2013-07-23,"1086B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,22.06,27,4.94,""
227,2013-07-23,"1086C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",73,35.56,37.7,2.14,""
228,2013-07-23,"1086D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",5,46.23,46.7,0.470000000000006,""
229,2013-07-23,"1087A","albicans","ca_atcc_14053","3e+05","csa_and_bact",NA,8.56,9,0.44,""
230,2013-07-23,"1087B","albicans","ca_atcc_14053","3e+03","csa_and_bact",NA,14.23,14.7,0.469999999999999,""
231,2013-07-23,"1087C","albicans","ca_atcc_14053","30","csa_and_bact",59,21.39,22.3,0.91,""
232,2013-07-23,"1087D","albicans","ca_atcc_14053","0.6","csa_and_bact",1,29.56,28,-1.56,""
233,2013-07-23,"1088A","albicans","ca_atcc_14053","3e+05","csa_and_bact",NA,8.24,9.3,1.06,""
234,2013-07-23,"1088B","albicans","ca_atcc_14053","3e+03","csa_and_bact",NA,14.39,16,1.61,""
235,2013-07-23,"1088C","albicans","ca_atcc_14053","30","csa_and_bact",85,21.08,22,0.920000000000002,""
236,2013-07-23,"1088D","albicans","ca_atcc_14053","0.6","csa_and_bact",1,27.06,27.3,0.240000000000002,""
237,2013-07-23,"1089A","albicans","ca_atcc_14053","3e+05","csa_and_bact",NA,7.89,9.3,1.41,""
238,2013-07-23,"1089B","albicans","ca_atcc_14053","3e+03","csa_and_bact",NA,14.58,15.7,1.12,""
239,2013-07-23,"1089C","albicans","ca_atcc_14053","30","csa_and_bact",64,21.23,22,0.77,""
240,2013-07-23,"1089D","albicans","ca_atcc_14053","0.6","csa_and_bact",3,27.91,27.7,-0.210000000000001,""
241,2013-07-23,"1090","none","neg_ctrl","0","csa_and_bact",NA,NA,NA,NA,""
